what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1462508214298
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1462508214643
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1462508214789
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1462508215010
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1462508215122
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1462508215179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462508215211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462508217188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462508223071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462508226402
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1462508237375
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1462508237962
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1462508238142
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1462508238568
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1462508240982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462508246755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462508260915
