what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1462381727721
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1462381727722
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1462381727723
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1462381727724
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1462381727725
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1462381727725
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1462381727726
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1462381727727
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1462381727728
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1462381727729
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1462381727730
started,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1462381727730
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1462381727731
os,sysinfo,,,"win32",1462381727734
arch,sysinfo,,,"x86",1462381727734
ws,sysinfo,,,"win32",1462381727734
locale,sysinfo,,,"en_IN",1462381727734
processors,sysinfo,,,"4",1462381727734
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1462381727734
java.runtime.version,sysinfo,,,"1.8.0-b132",1462381727734
java.specification.name,sysinfo,,,"Java Platform API Specification",1462381727734
java.specification.vendor,sysinfo,,,"Oracle Corporation",1462381727734
java.specification.version,sysinfo,,,"1.8",1462381727734
java.vendor,sysinfo,,,"Oracle Corporation",1462381727734
java.version,sysinfo,,,"1.8.0",1462381727734
java.vm.info,sysinfo,,,"mixed mode",1462381727734
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1462381727734
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1462381727734
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1462381727734
java.vm.specification.version,sysinfo,,,"1.8",1462381727734
java.vm.vendor,sysinfo,,,"Oracle Corporation",1462381727734
java.vm.version,sysinfo,,,"25.0-b70",1462381727734
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1462381729270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462381730981
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1462381739657
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1462381739664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462381750401
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1462381752550
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1462381753743
