what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1462379688224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1462379688605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1462379689300
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1462379739347
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1462379747984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462379754247
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1462379893472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462379938167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462379939066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462379941096
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1462379943521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462379964691
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462379967810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462379972069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462379977656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462379979239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1462379979259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462379997429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462380012758
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1462380024462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462380034319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462380044333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1462380050805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1462380052565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1462380053228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462380057658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462380060871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462380073955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462380124917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462380180824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462380249780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1462380253873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462380266507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462380287546
