what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1462483342293
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1462483345963
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1462483346930
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1462483350066
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1462483351666
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1462483354916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483399238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483401784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483409040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483439161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483448901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483453239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483455901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483458234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483494326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483497794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483500069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483504399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483524166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462483535011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1462483538525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462483539278
