what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1462376786790
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1462376786805
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1462376786805
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1462376786805
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1462376786805
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1462376786805
started,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1462376786805
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1462376786805
os,sysinfo,,,"win32",1462376786821
arch,sysinfo,,,"x86",1462376786821
ws,sysinfo,,,"win32",1462376786821
locale,sysinfo,,,"en_IN",1462376786821
processors,sysinfo,,,"4",1462376786821
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1462376786821
java.runtime.version,sysinfo,,,"1.8.0-b132",1462376786821
java.specification.name,sysinfo,,,"Java Platform API Specification",1462376786821
java.specification.vendor,sysinfo,,,"Oracle Corporation",1462376786821
java.specification.version,sysinfo,,,"1.8",1462376786821
java.vendor,sysinfo,,,"Oracle Corporation",1462376786821
java.version,sysinfo,,,"1.8.0",1462376786821
java.vm.info,sysinfo,,,"mixed mode",1462376786821
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1462376786821
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1462376786821
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1462376786821
java.vm.specification.version,sysinfo,,,"1.8",1462376786821
java.vm.vendor,sysinfo,,,"Oracle Corporation",1462376786821
java.vm.version,sysinfo,,,"25.0-b70",1462376786821
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1462376787055
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1462376787227
